Descrição da Unidade,Lat,Long
CENTRO DE ESPECIALIDADES MAE CURITIBANA,-25.424009,-49.276112
CENTRO DE ESPECIALIDADES MEDICAS MATRIZ,-25.43302,-49.271729
CENTRO DE ESPECIALIDADES OUVIDOR PARDINHO,-25.44376,-49.271271
CENTRO DE ESPECIALIDADES SALGADO FILHO,-25.488461,-49.223061
CENTRO DE ESPECIALIDADES SANTA FELICIDADE,-25.412571,-49.35067
CENTRO DE ESPECIALIDADES VILA HAUER,-25.481359,-49.242939
HOSPITAL DO IDOSO ZILDA ARNS,-25.509312,-49.293339
UMS ABAETE,-25.380344,-49.246151
UMS ABRANCHES,-25.38201,-49.273441
UMS ALVORADA PSF,-25.495573,-49.205959
UMS ATENAS,-25.45376,-49.354439
UMS ATUBA,-25.39464,-49.20451
UMS AUGUSTA PSF,-25.452229,-49.353786
UMS AURORA,-25.491182,-49.308548
UMS BACACHERI,-25.400881,-49.239449
UMS BAIRRO ALTO PSF,-25.41379,-49.205051
UMS BAIRRO NOVO PSF,-25.54723,-49.263451
UMS BARIGUI PSF,-25.510948,-49.333458
UMS BARREIRINHA,-25.363939,-49.262939
UMS BOM PASTOR,-25.413549,-49.301472
UMS BUTIATUVINHA PSF,-25.392469,-49.350922
UMS CAIUA PSF,-25.46281,-49.23767
UMS CAJURU,-25.45094,-49.21794
UMS CAMARGO,-25.461657,-49.214817
UMS CAMPINA DO SIQUEIRA,-25.43841,-49.30752
UMS CAMPO ALEGRE PSF,-25.498701,-49.317969
UMS CANDIDO PORTINARI PSF,-25.493727,-49.349586
UMS CAPANEMA PSF,-25.449881,-49.246799
UMS CAXIMBA PSF,-25.561413,-49.315056
UMS COA CENTRO DE ORIENTACAO E ACONSELHAMENTO,-25.428249,-49.273129
UMS CONCORDIA PSF,-25.529588,-49.288855
UMS COQUEIROS PSF,-25.534306,-49.264212
UMS DOM BOSCO PSF,-25.584339,-49.319489
UMS ERICO VERISSIMO PSF,-25.491213,-49.228346
UMS ESMERALDA,-25.508526,-49.269985
UMS ESTRELA PSF,-25.476597,-49.317291
UMS EUCALIPTOS PSF,-25.52846,-49.24151
UMS FANNY LINDOIA,-25.478571,-49.272732
UMS FERNANDO DE NORONHA,-25.376732,-49.238071
UMS HIGIENOPOLIS,-25.412821,-49.216259
UMS IPIRANGA,-25.502119,-49.289688
